model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,nobif,1.0,4,1,Base Decipher (z),0.8940324799479803,,,,0.8852851058391535,0.8024283961311234,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed4_native_nobif_z.h5ad,,166.0
native,z,nobif,0.1,4,1,Base Decipher (z),0.9728722660237987,,,,0.8349793600088047,0.6482903863249019,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed4_native_nobif_z.h5ad,,181.7
native,z,nobif,2.0,4,1,Base Decipher (z),0.6338379976582198,,,,0.924684903516277,0.8768847273741345,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma2.0_seed4_native_nobif_z.h5ad,,189.2
native,z,nobif,1.0,3,1,Base Decipher (z),0.8855670503080432,,,,0.9331948361919293,0.8622045771324642,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed3_native_nobif_z.h5ad,,202.9
native,z,bif,10.0,5,1,Base Decipher (z),0.6344850858842013,0.24350698436228208,0.5608868496953717,0.007121371570974588,0.9649067754472493,0.9596420745817734,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma10.0_seed5_native_bif_z.h5ad,,215.4
native,z,nobif,0.5,3,1,Base Decipher (z),0.959841268112427,,,,0.8995160343396914,0.7696903526782097,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed3_native_nobif_z.h5ad,,215.3
native,z,nobif,0.1,5,1,Base Decipher (z),0.9624791256450429,,,,0.8213610793452606,0.645175103047974,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.1_seed5_native_nobif_z.h5ad,,220.9
native,z,nobif,1.0,5,1,Base Decipher (z),0.7011838563465146,,,,0.9115025874992974,0.838113317719977,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma1.0_seed5_native_nobif_z.h5ad,,221.8
native,z,nobif,0.5,4,1,Base Decipher (z),0.952484704851116,,,,0.8503420748959748,0.6692555689447881,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma0.5_seed4_native_nobif_z.h5ad,,224.6
native,z,bif,7.5,4,1,Base Decipher (z),0.6624388102133865,0.6304171417510053,0.623750489455353,0.04761527106165886,0.9682210773167608,0.9523329690754314,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_sigma7.5_seed4_native_bif_z.h5ad,,236.1
