model,batch_mode,bifurcation,shift_sigma,seed,decipher_seed,arm,wandb_run_id,wandb_url,rho,rho_plus,rho_minus,branch_asw,r2_overall,r2_per_gene_median,trained_h5ad,error,seconds
native,z,bif,0.5,5,3,Base Decipher (z),,,0.9041634109539124,0.9371919359780756,0.8248619024647809,0.3968061804771423,0.8955565362916632,0.8015879738567542,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed5_native_bif_z_decipherseed_3.h5ad,,153.3
native,z,bif,1.0,3,1,Base Decipher (z),,,0.8876865882304039,0.8585976927562292,0.8437572545558366,0.3507916629314422,0.948403856740384,0.8955535535097705,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed3_native_bif_z_decipherseed_1.h5ad,,172.2
native,z,bif,0.5,5,2,Base Decipher (z),,,0.7861150115271243,0.9396581406956178,0.7149654772657035,0.4087609350681305,0.8964515299589856,0.8018002982766037,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma0.5_seed5_native_bif_z_decipherseed_2.h5ad,,203.2
native,z,bif,1.0,4,1,Base Decipher (z),,,0.8320566359032314,0.7711090024563212,0.7774697619431838,0.3135682940483093,0.9151250383136832,0.8371317869649267,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed4_native_bif_z_decipherseed_1.h5ad,,165.4
native,z,bif,1.0,4,2,Base Decipher (z),,,0.7860419925193238,0.6508524614176463,0.7632744456586237,0.2797175347805023,0.9110775024577404,0.8247383240578922,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed4_native_bif_z_decipherseed_2.h5ad,,174.1
native,z,bif,1.0,4,3,Base Decipher (z),,,0.8056300533928813,0.7881808719019183,0.7488593956109095,0.2841408252716064,0.9104023224763488,0.8227982244587708,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed4_native_bif_z_decipherseed_3.h5ad,,174.4
native,z,bif,1.0,3,3,Base Decipher (z),,,0.9026466639881128,0.8802172222811445,0.8416348706705694,0.3288458883762359,0.9468120494333144,0.8926299626126311,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed3_native_bif_z_decipherseed_3.h5ad,,233.5
native,z,bif,1.0,3,2,Base Decipher (z),,,0.9125661403354418,0.8579791434139962,0.8549618473644428,0.3249887228012085,0.9470172884551272,0.8898582694760201,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed3_native_bif_z_decipherseed_2.h5ad,,241.3
native,z,bif,1.0,5,2,Base Decipher (z),,,0.7462913463188074,0.8706471503498278,0.5580153314178896,0.3010985851287842,0.9148342266576536,0.8489881376661679,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed5_native_bif_z_decipherseed_2.h5ad,,184.7
native,z,bif,1.0,5,1,Base Decipher (z),,,0.751138170191829,0.7213871630905028,0.7499163770390136,0.2594979405403137,0.9178714789534268,0.8515729202041673,/home/jihyunpark/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0918/trained/sweep0918_ds3_sigma1.0_seed5_native_bif_z_decipherseed_1.h5ad,,206.4
