model,sigma,n_neighbors,native_gt_sil,native_learned_sil,umap_gt_sil,umap_learned_sil
decipher_vz,5.0,5,0.916010161242581,0.9280326892714915,0.38847944,0.17186849
decipher_vz,5.0,10,0.916010161242581,0.9280326892714915,0.65511316,0.28821605
decipher_vz,5.0,15,0.916010161242581,0.9280326892714915,0.6693381,0.32799068
decipher_vz,5.0,20,0.916010161242581,0.9280326892714915,0.73537844,0.12398221
decipher_vz,5.0,25,0.916010161242581,0.9280326892714915,0.7222009,0.15023097
decipher_vz2,5.0,5,0.916010161242581,0.8919861624483229,0.38847944,0.16583543
decipher_vz2,5.0,10,0.916010161242581,0.8919861624483229,0.65511316,0.2260001
decipher_vz2,5.0,15,0.916010161242581,0.8919861624483229,0.6693381,0.1886145
decipher_vz2,5.0,20,0.916010161242581,0.8919861624483229,0.73537844,0.11790348
decipher_vz2,5.0,25,0.916010161242581,0.8919861624483229,0.7222009,0.25823513
decipher,7.5,5,0.9440158570538548,0.9310242891656846,0.36115474,0.17778946
decipher,7.5,10,0.9440158570538548,0.9310242891656846,0.61514413,0.19346963
decipher,7.5,15,0.9440158570538548,0.9310242891656846,0.6972315,0.21409497
decipher,7.5,20,0.9440158570538548,0.9310242891656846,0.73739773,0.06676886
decipher,7.5,25,0.9440158570538548,0.9310242891656846,0.71326643,0.12387689
decipher_mf,7.5,5,0.9440158570538548,0.9152700875462669,0.36115474,0.14981791
decipher_mf,7.5,10,0.9440158570538548,0.9152700875462669,0.61514413,0.27719724
decipher_mf,7.5,15,0.9440158570538548,0.9152700875462669,0.6972315,0.10719751
decipher_mf,7.5,20,0.9440158570538548,0.9152700875462669,0.73739773,0.30090728
decipher_mf,7.5,25,0.9440158570538548,0.9152700875462669,0.71326643,0.15594585
decipher_vz,7.5,5,0.9440158570538548,0.9405439489345734,0.36115474,0.21171123
decipher_vz,7.5,10,0.9440158570538548,0.9405439489345734,0.61514413,0.23520881
decipher_vz,7.5,15,0.9440158570538548,0.9405439489345734,0.6972315,0.28328115
decipher_vz,7.5,20,0.9440158570538548,0.9405439489345734,0.73739773,0.38835388
decipher_vz,7.5,25,0.9440158570538548,0.9405439489345734,0.71326643,0.21952195
decipher_vz2,7.5,5,0.9440158570538548,0.9219453445889961,0.36115474,0.17068268
decipher_vz2,7.5,10,0.9440158570538548,0.9219453445889961,0.61514413,0.28194207
decipher_vz2,7.5,15,0.9440158570538548,0.9219453445889961,0.6972315,0.3051343
decipher_vz2,7.5,20,0.9440158570538548,0.9219453445889961,0.73739773,0.27332672
decipher_vz2,7.5,25,0.9440158570538548,0.9219453445889961,0.71326643,0.16247225
