model,sigma,seed,rho,trained_h5ad
Base Decipher,5.0,2,0.045619434821648694,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed2_decipher.h5ad
Base Decipher,5.0,3,0.5230693394398237,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed3_decipher.h5ad
Base Decipher,5.0,4,0.4906401436189636,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed4_decipher.h5ad
Base Decipher,7.5,0,0.3200170039174831,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed0_decipher.h5ad
Base Decipher,7.5,1,0.30113635931872773,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed1_decipher.h5ad
Base Decipher,7.5,2,0.1563188269521432,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed2_decipher.h5ad
Base Decipher,7.5,3,0.6243237095700229,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed3_decipher.h5ad
Base Decipher,7.5,4,0.5597491765316259,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed4_decipher.h5ad
Base Decipher,10.0,0,0.3659127683861905,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed0_decipher.h5ad
Base Decipher,10.0,1,0.4481848386336459,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed1_decipher.h5ad
Base Decipher,10.0,2,0.3264786778143666,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed2_decipher.h5ad
