model,sigma,seed,rho,trained_h5ad
Decipher-VZ2,7.5,1,0.41786307250619875,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed1_decipher_vz2.h5ad
Decipher-VZ2,7.5,2,0.19822822340961188,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed2_decipher_vz2.h5ad
Decipher-VZ2,7.5,3,0.3334781674519534,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed3_decipher_vz2.h5ad
Decipher-VZ2,7.5,4,0.7715499938150425,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed4_decipher_vz2.h5ad
Decipher-VZ2,10.0,0,0.511506286233332,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed0_decipher_vz2.h5ad
Decipher-VZ2,10.0,1,0.39534757902733497,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed1_decipher_vz2.h5ad
Decipher-VZ2,10.0,2,0.32079692536766996,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed2_decipher_vz2.h5ad
Decipher-VZ2,10.0,3,0.7795186706028454,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed3_decipher_vz2.h5ad
Decipher-VZ2,10.0,4,0.6919793201637191,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed4_decipher_vz2.h5ad
Decipher-MF,0.1,0,0.7993305140460379,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed0_decipher_mf.h5ad
Decipher-MF,0.1,1,0.8941288781294662,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed1_decipher_mf.h5ad
Decipher-MF,0.1,2,0.8587402942120431,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed2_decipher_mf.h5ad
Decipher-MF,0.1,3,0.9903086689332441,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed3_decipher_mf.h5ad
Decipher-MF,0.1,4,0.9749878632954482,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.1_seed4_decipher_mf.h5ad
Decipher-MF,0.5,0,0.00491277875017872,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed0_decipher_mf.h5ad
Decipher-MF,0.5,1,0.8231756217325242,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed1_decipher_mf.h5ad
Decipher-MF,0.5,2,0.8362189474002032,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed2_decipher_mf.h5ad
Decipher-MF,0.5,3,0.9609735669735466,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed3_decipher_mf.h5ad
Decipher-MF,0.5,4,0.9549174573153218,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma0.5_seed4_decipher_mf.h5ad
Decipher-MF,1.0,0,0.6814743941785825,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed0_decipher_mf.h5ad
Decipher-MF,1.0,1,0.8658400745691555,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed1_decipher_mf.h5ad
Decipher-MF,1.0,2,0.7655138876703654,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed2_decipher_mf.h5ad
Decipher-MF,1.0,3,0.8925182418536822,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed3_decipher_mf.h5ad
Decipher-MF,1.0,4,0.9495555266087772,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma1.0_seed4_decipher_mf.h5ad
Decipher-MF,2.0,0,0.25234760996241884,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed0_decipher_mf.h5ad
Decipher-MF,2.0,1,0.13856401519893366,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed1_decipher_mf.h5ad
Decipher-MF,2.0,2,0.4400634212176534,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed2_decipher_mf.h5ad
Decipher-MF,2.0,3,0.7230770797446248,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed3_decipher_mf.h5ad
Decipher-MF,2.0,4,0.950372855817079,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma2.0_seed4_decipher_mf.h5ad
Decipher-MF,5.0,0,0.19133103185470382,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed0_decipher_mf.h5ad
Decipher-MF,5.0,1,0.17036152860270393,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed1_decipher_mf.h5ad
Decipher-MF,5.0,2,0.3332779501416448,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed2_decipher_mf.h5ad
Decipher-MF,5.0,3,0.6205655456991169,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed3_decipher_mf.h5ad
Decipher-MF,5.0,4,0.8889322079498281,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma5.0_seed4_decipher_mf.h5ad
Decipher-MF,7.5,0,0.13376818878400343,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed0_decipher_mf.h5ad
Decipher-MF,7.5,1,0.07135395979431337,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed1_decipher_mf.h5ad
Decipher-MF,7.5,2,0.08903431643598853,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed2_decipher_mf.h5ad
Decipher-MF,7.5,3,0.3163013724371532,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed3_decipher_mf.h5ad
Decipher-MF,7.5,4,0.4132894105227474,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma7.5_seed4_decipher_mf.h5ad
Decipher-MF,10.0,0,0.11324311652474578,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed0_decipher_mf.h5ad
Decipher-MF,10.0,1,0.2041001246905943,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed1_decipher_mf.h5ad
Decipher-MF,10.0,2,0.07092698189525387,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed2_decipher_mf.h5ad
Decipher-MF,10.0,3,0.2961570372031105,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed3_decipher_mf.h5ad
Decipher-MF,10.0,4,0.019591672420801915,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0803/trained/sigma10.0_seed4_decipher_mf.h5ad
