ilisi,graph_conn,sil_batch,model,sigma,seed
0.4924241900444031,0.5168,0.7907229,Base Decipher,0.1,0
0.5383998155593872,0.7928,0.853382,Base Decipher,0.1,1
0.5149567723274231,0.7464000000000001,0.8517828,Base Decipher,0.1,2
0.4991215467453003,0.9843999999999999,0.8504205,Base Decipher,0.1,3
0.5121703743934631,0.9311999999999999,0.87489927,Base Decipher,0.1,4
0.011802613735198975,0.4444,0.5887954,Base Decipher,0.5,0
0.10142374038696289,0.5763999999999999,0.6304219,Base Decipher,0.5,1
0.1922297179698944,0.8408,0.6910758,Base Decipher,0.5,2
0.12131458520889282,0.9864,0.6017186,Base Decipher,0.5,3
0.2473471760749817,0.6844000000000001,0.7149895,Base Decipher,0.5,4
0.0,0.27440000000000003,0.27035993,Base Decipher,1.0,0
8.940696716308594e-08,0.37679999999999997,0.42622575,Base Decipher,1.0,1
0.002330601215362549,0.7396,0.5538397,Base Decipher,1.0,2
0.013570308685302734,0.7276,0.54442406,Base Decipher,1.0,3
0.02279055118560791,0.5824,0.53410363,Base Decipher,1.0,4
0.0,0.18319999999999997,0.16067368,Base Decipher,2.0,0
0.0,0.2096,0.19855303,Base Decipher,2.0,1
0.0,0.29440000000000005,0.32468054,Base Decipher,2.0,2
0.0,0.21760000000000002,0.17362083,Base Decipher,2.0,3
8.940696716308594e-08,0.5883999999999999,0.39311796,Base Decipher,2.0,4
0.0,0.1588,0.074742936,Base Decipher,5.0,0
0.0,0.2028,0.07477896,Base Decipher,5.0,1
0.0,0.2016,0.103709266,Base Decipher,5.0,2
0.0,0.21960000000000002,0.08538507,Base Decipher,5.0,3
0.0,0.2592,0.2105926,Base Decipher,5.0,4
0.0,0.172,0.05813404,Base Decipher,7.5,0
0.0,0.17519999999999997,0.07143066,Base Decipher,7.5,1
0.0,0.1964,0.12432648,Base Decipher,7.5,2
0.0,0.2212,0.0661038,Base Decipher,7.5,3
0.0,0.2104,0.1482587,Base Decipher,7.5,4
0.0,0.1488,0.046144865,Base Decipher,10.0,0
0.0,0.18039999999999998,0.059804834,Base Decipher,10.0,1
0.0,0.18359999999999999,0.094260864,Base Decipher,10.0,2
0.0,0.2212,0.05310347,Base Decipher,10.0,3
0.0,0.21080000000000002,0.11715523,Base Decipher,10.0,4
0.5027512311935425,0.5720000000000001,0.7924898,Decipher-VZ,0.1,0
0.49334824085235596,0.7884,0.85991067,Decipher-VZ,0.1,1
0.5116478204727173,0.7916000000000001,0.85899985,Decipher-VZ,0.1,2
0.4993910789489746,0.9703999999999999,0.84369546,Decipher-VZ,0.1,3
0.5014302730560303,0.8852,0.87365407,Decipher-VZ,0.1,4
2.086162567138672e-07,0.32039999999999996,0.4455492,Decipher-VZ,0.5,0
0.08548706769943237,0.8587999999999999,0.6283259,Decipher-VZ,0.5,1
0.19119352102279663,0.8448,0.69982016,Decipher-VZ,0.5,2
0.15121683478355408,0.9603999999999999,0.6964976,Decipher-VZ,0.5,3
0.2445717453956604,0.9747999999999999,0.7382784,Decipher-VZ,0.5,4
0.0,0.3268,0.2989371,Decipher-VZ,1.0,0
8.940696716308594e-08,0.4532,0.36528635,Decipher-VZ,1.0,1
0.09889715909957886,0.8152000000000001,0.7003695,Decipher-VZ,1.0,2
0.002859950065612793,0.5988,0.4561247,Decipher-VZ,1.0,3
0.10738545656204224,0.6584000000000001,0.64920723,Decipher-VZ,1.0,4
0.0,0.188,0.28113818,Decipher-VZ,2.0,0
8.940696716308594e-08,0.3792,0.41057086,Decipher-VZ,2.0,1
1.7881393432617188e-07,0.4072,0.4387235,Decipher-VZ,2.0,2
5.960464477539063e-08,0.39599999999999996,0.3856414,Decipher-VZ,2.0,3
0.09260675311088562,0.7696000000000002,0.51942736,Decipher-VZ,2.0,4
0.0,0.1612,0.14075127,Decipher-VZ,5.0,0
0.0,0.2088,0.16327837,Decipher-VZ,5.0,1
0.0,0.23159999999999997,0.28136134,Decipher-VZ,5.0,2
0.0,0.2192,0.13249703,Decipher-VZ,5.0,3
5.960464477539063e-08,0.39559999999999995,0.28979808,Decipher-VZ,5.0,4
0.0,0.1572,0.108889796,Decipher-VZ,7.5,0
0.0,0.2008,0.105703555,Decipher-VZ,7.5,1
5.960464477539063e-08,0.22080000000000002,0.33022028,Decipher-VZ,7.5,2
0.0,0.2204,0.14605464,Decipher-VZ,7.5,3
5.960464477539063e-08,0.31120000000000003,0.2933532,Decipher-VZ,7.5,4
0.0,0.1388,0.10520311,Decipher-VZ,10.0,0
0.0,0.19319999999999998,0.12940632,Decipher-VZ,10.0,1
0.0,0.2036,0.18682976,Decipher-VZ,10.0,2
0.0,0.22200000000000003,0.09677599,Decipher-VZ,10.0,3
0.0,0.22479999999999997,0.35007554,Decipher-VZ,10.0,4
0.509059727191925,0.5248,0.79059136,Decipher-VZ2,0.1,0
0.4817196726799011,0.8068,0.8530003,Decipher-VZ2,0.1,1
0.5089198350906372,0.8140000000000001,0.854204,Decipher-VZ2,0.1,2
0.5156023502349854,0.9528000000000001,0.8406061,Decipher-VZ2,0.1,3
0.5053654909133911,0.946,0.86200744,Decipher-VZ2,0.1,4
0.00549691915512085,0.5631999999999999,0.5212191,Decipher-VZ2,0.5,0
0.0808190107345581,0.8583999999999999,0.65280724,Decipher-VZ2,0.5,1
0.2713359594345093,0.7764,0.77998316,Decipher-VZ2,0.5,2
