model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,branching_t,branch_prob,hole_label,hole_size,n_holes,hole_density,rho,rho_plus,rho_minus,branch_asw,trained_h5ad,r2_overall,r2_per_gene_median,error
Set3 concat->x  model5,3,1.0,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9920110390012296,0.9922499850751909,0.9937456938780879,0.5116971135139465,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed3_model5_bif_genes_decipherseed_1.h5ad,0.9345151234996334,0.8883892041780861,
Set3 concat->x  model5,3,1.0,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9699959565601889,0.9723329988380104,0.9747431721478035,0.5303536057472229,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed4_model5_bif_genes_decipherseed_1.h5ad,0.9059093521133954,0.8623333488050313,
Set3 concat->x  model5,3,2.0,3,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9448007231411553,0.9800967042361091,0.9626791111087086,0.5007463097572327,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed3_model5_bif_genes_decipherseed_1.h5ad,0.9354029876640363,0.8999759267278908,
Set3 concat->x  model5,3,2.0,4,1,0.1,genes,0.3,0.5,nohole,1,0,0.0,0.9549270445515596,0.9689886322785931,0.9587887700018988,0.574729323387146,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma2.0_seed4_model5_bif_genes_decipherseed_1.h5ad,0.932407972725142,0.9022506815715052,
Base Decipher,3,0.1,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9885415133946364,0.9846981517129019,0.9857185554122962,0.416454017162323,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed3_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.944698671774334,0.9039047338105192,
Base Decipher,3,0.1,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9727942282244229,0.9599205537610223,0.9647984492266919,0.4184047281742096,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.1_seed4_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.8784694313731003,0.7973622946145695,
Base Decipher,3,0.5,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9774897128712904,0.9587656777401647,0.9761918166985158,0.4037992060184479,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed3_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.896289463211339,0.8419891229464694,
Base Decipher,3,0.5,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9335884926988006,0.9157938323900915,0.9473634901320122,0.38107064366340637,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma0.5_seed4_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.7844496789280749,0.6696922022051257,
Base Decipher,3,1.0,3,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9705373140942818,0.9500242557083202,0.9509525789041166,0.44151145219802856,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed3_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.8021180850260445,0.7272459310307284,
Base Decipher,3,1.0,4,1,0.1,genes,0.3,0.5,holes3,1,3,0.05,0.9224799373506379,0.8386342949444444,0.867084199290829,0.17577318847179413,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep_bifurcation/0924/trained/9.10_sigma1.0_seed4_native_bif_genes_holes3x1d0.05_decipherseed_1.h5ad,0.6641321948387306,0.5312694054768825,
