,cell_id,group
242,aacbomgg-1,tumor
243,aacbpjbg-1,endothelial
244,aaccblbe-1,tumor
245,aacccpfc-1,tumor
247,aaccifmg-1,tumor
249,aaccmcaj-1,tumor
250,aaccmkfi-1,tumor
251,aaccoeka-1,tumor
252,aaccoenj-1,tumor
253,aacdbecl-1,tumor
254,aacdcikm-1,tumor
255,aacdckep-1,mixed_APC
256,aacdeamo-1,tumor
257,aacdjpoh-1,monocyte
258,aacdlojo-1,tumor
259,aacdnlga-1,tumor
260,aacdoblf-1,plasma b
262,aaceeanb-1,mixed_immune
263,aacegfna-1,tumor
264,aacemfjh-1,tumor
265,aaceohae-1,tumor
266,aaceombh-1,tumor
267,aacfgijo-1,mixed_immune
268,aacfgjcl-1,tumor
269,aacfhekf-1,endothelial
270,aacfmach-1,monocyte
271,aacggbbb-1,tumor
272,aacggblp-1,tumor
273,aachabdb-1,tumor
274,aachdmdn-1,tumor
275,aachfjii-1,tumor
276,aachnnoi-1,tumor
277,aaciappc-1,endothelial
279,aacigaol-1,tumor
280,aaciiego-1,tumor
281,aacikfeg-1,tumor
282,aaciofce-1,epithelial
284,aacjadbf-1,tumor
285,aacjbmbg-1,tumor
286,aacjconf-1,tumor
287,aacjefao-1,plasma b
288,aacjegho-1,tumor
289,aacjgofb-1,tumor
290,aacjpbdj-1,tumor
291,aackcfme-1,macrophage
293,aackolph-1,tumor
294,aaclcndm-1,fibroblast
295,aaclgkno-1,fibroblast
296,aaclgopf-1,tumor
297,aacliapo-1,tumor
298,aacljadn-1,fibroblast
299,aaclkcpd-1,mixed_APC
300,aaclpfeb-1,tumor
301,aacmaejd-1,tumor
302,aacmccmi-1,tumor
303,aacmhmjh-1,tumor
304,aacmjllm-1,tumor
305,aacmlhgg-1,tumor
306,aacmnlbi-1,tumor
307,aacmpbdf-1,tumor
308,aacnagpj-1,epithelial
309,aacncncl-1,tumor
310,aacnklme-1,endothelial
312,aacnnkdj-1,mixed_immune
314,aacnohop-1,tumor
315,aacoanik-1,tumor
316,aacofeli-1,DC
318,aacohnoc-1,tumor
319,aacoingd-1,tumor
320,aacokbpf-1,tumor
321,aacoknko-1,mixed_immune
322,aacoobgc-1,tumor
323,aacoppoa-1,tumor
324,aacpbbhf-1,tumor
325,aacpcgph-1,tumor
326,aacpgfph-1,tumor
327,aacpgkfn-1,tumor
328,aacpjefb-1,macrophage
329,aacpkied-1,tumor
330,aacpkjah-1,macrophage
331,aacpocog-1,macrophage
332,aadaalkm-1,tumor
335,aadamgbm-1,macrophage
336,aadaolkj-1,tumor
337,aadaomib-1,tumor
338,aadbbjka-1,tumor
339,aadbdmba-1,tumor
340,aadbfomb-1,tumor
341,aadbioph-1,tumor
342,aadbjcki-1,fibroblast
343,aadbmfjl-1,tumor
344,aadcdjle-1,tumor
