model,shift_sigma,seed,r2_pipeline,r2_from_z_raw,r2_from_z_corrected,has_z_raw,r2_gap
Decipher-VZ-Add,0.1,0,0.764887886067084,0.7648878860819845,0.7555982564803939,True,0.009289629601590632
Decipher-VZ-Add,0.1,1,0.7802528718182038,0.7802528718208213,0.780165946655128,True,8.692516569330788e-05
Decipher-VZ-Add,0.1,2,0.7518511022385503,0.7518511022059154,0.7517370161213177,True,0.00011408608459773095
Decipher-VZ-Add,0.25,0,0.7602298642574158,0.7602298642662471,0.716236345787008,True,0.04399351847923905
Decipher-VZ-Add,0.25,1,0.7726534916786356,0.7726534916927468,0.7156936175606278,True,0.056959874132119004
Decipher-VZ-Add,0.25,2,0.7699024903071874,0.7699024903916292,0.7311013806383169,True,0.0388011097533123
Decipher-VZ-Add,0.5,0,0.8231572766844555,0.8231572766734611,0.6661898881180112,True,0.1569673885554499
Decipher-VZ-Add,0.5,1,0.825703894083716,0.8257038941246305,0.6484350579251003,True,0.17726883619953027
Decipher-VZ-Add,0.5,2,0.7805073743187948,0.7805073742372574,0.6574786835404526,True,0.12302869069680478
Decipher-VZ-Add,1.0,0,0.8937267339271981,0.8937267339254386,0.8595788637803331,True,0.03414787014510545
Decipher-VZ-Add,1.0,1,0.8848693374896445,0.8848693375554322,0.7974802784018369,True,0.0873890591535953
Decipher-VZ-Add,1.0,2,0.8437306614085173,0.8437306614483902,0.6278518234758719,True,0.21587883797251828
Decipher-VZ-Add,2.5,0,0.9467290458256172,0.9467290458241889,0.8216775413596584,True,0.1250515044645305
Decipher-VZ-Add,2.5,1,0.9390383713420491,0.939038371379328,0.8498723247102212,True,0.08916604666910677
Decipher-VZ-Add,2.5,2,0.9241871699739564,0.9241871699555307,0.8402920987517697,True,0.08389507120376105
Decipher-VZ2-Add,0.1,0,0.7641309007745264,0.7641309006536078,0.762975712205198,True,0.001155188448409783
Decipher-VZ2-Add,0.1,1,0.7798038641531096,0.7798038641324851,0.7797158358468502,True,8.802828563492238e-05
Decipher-VZ2-Add,0.1,2,0.7430165810401428,0.7430165810414671,0.7424000640502768,True,0.0006165169911902524
Decipher-VZ2-Add,0.25,0,0.7776405923445422,0.7776405924094875,0.7672427049721104,True,0.010397887437377018
Decipher-VZ2-Add,0.25,1,0.7702142384659869,0.7702142384687702,0.7684786512888455,True,0.0017355871799247247
Decipher-VZ2-Add,0.25,2,0.7737690141747697,0.7737690140726985,0.7698221309711542,True,0.003946883101544341
Decipher-VZ2-Add,0.5,0,0.8212381832302362,0.8212381831415345,0.7997303666324949,True,0.021507816509039657
Decipher-VZ2-Add,0.5,1,0.8240346475537484,0.8240346474426425,0.7753479893281059,True,0.04868665811453665
Decipher-VZ2-Add,0.5,2,0.7756925981909601,0.7756925980771807,0.7556215675906015,True,0.02007103048657921
Decipher-VZ2-Add,1.0,0,0.8926004406858372,0.8926004407179778,0.8788513184393983,True,0.013749122278579495
Decipher-VZ2-Add,1.0,1,0.8840687920637318,0.8840687920751423,0.8598566673839527,True,0.024212124691189607
Decipher-VZ2-Add,1.0,2,0.8232577033921399,0.8232577033887545,0.8201152830582492,True,0.003142420330505269
Decipher-VZ2-Add,2.5,0,0.9474033219171047,0.9474033218819701,0.9434816000704382,True,0.003921721811531831
Decipher-VZ2-Add,2.5,1,0.9385775548823015,0.9385775548780378,0.931750442089031,True,0.006827112789006828
Decipher-VZ2-Add,2.5,2,0.9245897367501488,0.924589736746602,0.9184221405749681,True,0.006167596171633982
Decipher-MF-Add,0.1,0,0.7635508892581102,0.7635508893371872,0.7632525527896863,True,0.0002983365475008881
Decipher-MF-Add,0.1,1,0.7803670334407197,0.7803670334888764,0.7797496180962808,True,0.0006174153925955217
Decipher-MF-Add,0.1,2,0.7568090456554868,0.7568090455915149,0.7568006310036246,True,8.414587890248626e-06
Decipher-MF-Add,0.25,0,0.7801513729507201,0.7801513729308979,0.7661185160674953,True,0.01403285686340261
Decipher-MF-Add,0.25,1,0.7716611614148028,0.7716611612540785,0.7603013682864679,True,0.011359792967610582
Decipher-MF-Add,0.25,2,0.7640027548157501,0.7640027548158647,0.7598849560719378,True,0.004117798743926815
Decipher-MF-Add,0.5,0,0.8188055551924102,0.8188055551570677,0.7752327873820547,True,0.043572767775012955
Decipher-MF-Add,0.5,1,0.8235872524249744,0.8235872524004508,0.7811101439313021,True,0.04247710846914876
Decipher-MF-Add,0.5,2,0.7792442238833956,0.7792442239306476,0.753876760427815,True,0.025367463502832588
Decipher-MF-Add,1.0,0,0.8932633714996968,0.8932633714698864,0.8732387343404988,True,0.020024637129387624
Decipher-MF-Add,1.0,1,0.8845011940484862,0.8845011940660834,0.8598483843140534,True,0.02465280975202999
Decipher-MF-Add,1.0,2,0.8400326166721719,0.8400326167166977,0.8293894443918646,True,0.010643172324833139
Decipher-MF-Add,2.5,0,0.9481469018226724,0.9481469018040479,0.9425997797514607,True,0.005547122052587228
Decipher-MF-Add,2.5,1,0.9390518558086508,0.9390518558218051,0.932739062716724,True,0.006312793105081038
Decipher-MF-Add,2.5,2,0.9277900417448376,0.9277900417584553,0.9234803344470244,True,0.004309707311430877
Base Decipher,0.1,0,0.762702421407007,0.7627024213677033,0.7627024213677033,False,0.0
Base Decipher,0.1,1,0.7796148029533605,0.7796148029269683,0.7796148029269683,False,0.0
Base Decipher,0.1,2,0.7537655992134051,0.7537655991925589,0.7537655991925589,False,0.0
Base Decipher,0.25,0,0.7563234275792027,0.7563234275974422,0.7563234275974422,False,0.0
Base Decipher,0.25,1,0.7679945341088548,0.7679945340819239,0.7679945340819239,False,0.0
Base Decipher,0.25,2,0.770609749717905,0.7706097497789782,0.7706097497789782,False,0.0
Base Decipher,0.5,0,0.8171847863137718,0.8171847863034207,0.8171847863034207,False,0.0
Base Decipher,0.5,1,0.8285496938085741,0.8285496938364938,0.8285496938364938,False,0.0
Base Decipher,0.5,2,0.7714446396654975,0.7714446397167665,0.7714446397167665,False,0.0
Base Decipher,1.0,0,0.8930388602311689,0.8930388601752204,0.8930388601752204,False,0.0
Base Decipher,1.0,1,0.8854985917503084,0.8854985917287634,0.8854985917287634,False,0.0
Base Decipher,1.0,2,0.8410186399209487,0.8410186397978294,0.8410186397978294,False,0.0
Base Decipher,2.5,0,0.9477646184785732,0.9477646184668237,0.9477646184668237,False,0.0
Base Decipher,2.5,1,0.93858809384744,0.9385880938824909,0.9385880938824909,False,0.0
Base Decipher,2.5,2,0.9251821545032044,0.9251821545050669,0.9251821545050669,False,0.0
