model,n_z_dims,shift_sigma,seed,decipher_seed,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ2,3,0.1,1,1,0.9268209365752423,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed1_decipher_vz2.h5ad,0.7608473408085044,0.502707745356338,
Decipher-VZ2,3,0.1,2,1,0.8807461054603802,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed2_decipher_vz2.h5ad,0.7382554179207155,0.4113206603679319,
Decipher-VZ2,3,0.5,0,1,0.6244207566762543,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed0_decipher_vz2.h5ad,0.7785786699867429,0.6083412160941474,
Decipher-VZ2,3,0.5,1,1,0.8205492787262396,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed1_decipher_vz2.h5ad,0.751044646917758,0.5254661775521847,
Decipher-VZ2,3,0.5,2,1,0.7621465468176057,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed2_decipher_vz2.h5ad,0.7683519935185312,0.5488525149848315,
Decipher-VZ2,3,1.0,0,1,0.4854726669601434,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed0_decipher_vz2.h5ad,0.8023469830776662,0.6800456229264749,
Decipher-VZ2,3,1.0,1,1,0.832952422652276,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed1_decipher_vz2.h5ad,0.793810357527982,0.6469755999533233,
Decipher-VZ2,3,1.0,2,1,0.6657827638384769,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed2_decipher_vz2.h5ad,0.6993327490377734,0.4496136233258572,
Decipher-VZ2,3,2.0,0,1,0.5829749690073269,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed0_decipher_vz2.h5ad,0.8781823923260725,0.826880758963259,
Decipher-VZ2,3,2.0,1,1,0.4385980004184387,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed1_decipher_vz2.h5ad,0.7843257888207216,0.6580649621549208,
Decipher-VZ2,3,2.0,2,1,0.6774112773616587,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma2.0_seed2_decipher_vz2.h5ad,0.8094785452818625,0.6500196386188666,
Decipher-VZ2,3,5.0,0,1,0.7004902093691024,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed0_decipher_vz2.h5ad,0.8690069517497521,0.8694361023970083,
Decipher-VZ2,3,5.0,1,1,0.5839277659102629,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma5.0_seed1_decipher_vz2.h5ad,0.8943300100169579,0.8733980878722979,
Decipher-VZ2,3,5.0,2,1,,,,,"ValueError: Input X contains NaN.
KNeighborsRegressor does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values"
Decipher-VZ2,3,7.5,0,1,0.47294505326743147,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed0_decipher_vz2.h5ad,0.8903133707625107,0.8678412823494714,
Decipher-VZ2,3,7.5,1,1,0.8389102728610371,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed1_decipher_vz2.h5ad,0.8669710047584085,0.8187740678181843,
Decipher-VZ2,3,7.5,2,1,0.3331699566575455,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma7.5_seed2_decipher_vz2.h5ad,0.8799312581116562,0.8650291322967592,
Decipher-VZ2,3,10.0,0,1,0.5187156675231175,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed0_decipher_vz2.h5ad,0.8352331965560801,0.8677969511975301,
Decipher-VZ2,3,10.0,1,1,0.49703149593692536,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed1_decipher_vz2.h5ad,0.8871869280019968,0.8968488334243215,
Decipher-VZ2,3,10.0,2,1,0.39863012261493996,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma10.0_seed2_decipher_vz2.h5ad,0.9001821235359339,0.8939711179179821,
Decipher-MF,3,0.1,0,1,0.866016411398434,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed0_decipher_mf.h5ad,0.7554751950305061,0.4382189380463677,
Decipher-MF,3,0.1,1,1,0.9257577685558955,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed1_decipher_mf.h5ad,0.7753552603904191,0.534136260237851,
Decipher-MF,3,0.1,2,1,0.8775741401250723,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.1_seed2_decipher_mf.h5ad,0.7562521167407255,0.4547355220461856,
Decipher-MF,3,0.5,0,1,0.7122229325597119,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed0_decipher_mf.h5ad,0.6762363305417365,0.42680001941121737,
Decipher-MF,3,0.5,1,1,0.8747701381450306,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed1_decipher_mf.h5ad,0.7643378699829898,0.5493659550143165,
Decipher-MF,3,0.5,2,1,0.8070641086963453,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma0.5_seed2_decipher_mf.h5ad,0.7489607185935253,0.5103407939573625,
Decipher-MF,3,1.0,0,1,0.7051474122185124,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed0_decipher_mf.h5ad,0.8147983167760742,0.6697819753597339,
Decipher-MF,3,1.0,1,1,0.8274366347352884,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed1_decipher_mf.h5ad,0.7360720935328953,0.5333005876338233,
Decipher-MF,3,1.0,2,1,0.7388466574710855,/Users/jihyunpark/Documents/Decipher/decipher-bc/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0804/trained/sigma1.0_seed2_decipher_mf.h5ad,0.7439617093669391,0.5130439134191791,
