ilisi,graph_conn,sil_batch,model,shift_sigma,seed
0.46130651235580444,0.9404,0.81741726,Decipher-VZ,0.1,0
0.4605686664581299,0.9748000000000001,0.86025685,Decipher-VZ,0.1,1
0.5289871692657471,0.9644,0.9018372,Decipher-VZ,0.1,2
0.06746947765350342,0.7968,0.5939764,Decipher-VZ,0.5,0
0.12530666589736938,0.9672000000000001,0.60513484,Decipher-VZ,0.5,1
0.16380077600479126,0.9224,0.7076745,Decipher-VZ,0.5,2
0.10353696346282959,0.7507999999999999,0.5496936,Decipher-VZ,1.0,0
0.0030980706214904785,0.48200000000000004,0.43628144,Decipher-VZ,1.0,1
0.16294771432876587,0.8915999999999998,0.6301019,Decipher-VZ,1.0,2
0.11579060554504395,0.702,0.58545387,Decipher-VZ,2.0,0
0.01352626085281372,0.5228,0.5843875,Decipher-VZ,2.0,1
0.16529381275177002,0.5235999999999998,0.5885004,Decipher-VZ,2.0,2
0.0027188360691070557,0.36360000000000003,0.68938,Decipher-VZ,5.0,0
8.940696716308594e-08,0.36,0.4302495,Decipher-VZ,5.0,1
1.7434358596801758e-05,0.2088,0.5184406,Decipher-VZ,5.0,2
0.010035991668701172,0.2732,0.6004977,Decipher-VZ,7.5,0
5.960464477539063e-08,0.2132,0.25776926,Decipher-VZ,7.5,1
0.03412988781929016,0.4928,0.67278194,Decipher-VZ,7.5,2
2.9802322387695312e-08,0.22400000000000003,0.4298573,Decipher-VZ,10.0,0
5.960464477539063e-08,0.27959999999999996,0.40646902,Decipher-VZ,10.0,1
0.02382415533065796,0.5652,0.68494,Decipher-VZ,10.0,2
0.4608568549156189,0.9464,0.8322836,Decipher-VZ2,0.1,0
0.4615439772605896,0.9587999999999999,0.83274686,Decipher-VZ2,0.1,1
0.5293892621994019,0.9568,0.9017908,Decipher-VZ2,0.1,2
0.08728006482124329,0.758,0.5876365,Decipher-VZ2,0.5,0
0.23679238557815552,0.9144,0.7446444,Decipher-VZ2,0.5,1
0.24328410625457764,0.9527999999999999,0.7034405,Decipher-VZ2,0.5,2
0.12626129388809204,0.5768,0.6501646,Decipher-VZ2,1.0,0
0.0009195804595947266,0.7396,0.52027494,Decipher-VZ2,1.0,1
0.19369804859161377,0.7908,0.66580534,Decipher-VZ2,1.0,2
0.007391154766082764,0.5296000000000001,0.6024315,Decipher-VZ2,2.0,0
0.04442816972732544,0.4808,0.5437843,Decipher-VZ2,2.0,1
0.08958202600479126,0.6832,0.6670166,Decipher-VZ2,2.0,2
0.08539649844169617,0.8464,0.6552579,Decipher-VZ2,5.0,0
2.9802322387695312e-08,0.20800000000000002,0.50257754,Decipher-VZ2,5.0,1
5.960464477539063e-08,0.23479999999999998,0.40862554,Decipher-VZ2,7.5,0
0.021282494068145752,0.7060000000000001,0.5633685,Decipher-VZ2,7.5,1
5.960464477539063e-08,0.2304,0.5405973,Decipher-VZ2,7.5,2
2.9802322387695312e-08,0.3176,0.5103451,Decipher-VZ2,10.0,0
2.9802322387695312e-08,0.2088,0.31520566,Decipher-VZ2,10.0,1
0.05259642004966736,0.5780000000000001,0.6168356,Decipher-VZ2,10.0,2
0.45940256118774414,0.9484,0.8221833,Decipher-MF,0.1,0
0.45008766651153564,0.9704,0.8283777,Decipher-MF,0.1,1
0.5273419618606567,0.9667999999999999,0.89852536,Decipher-MF,0.1,2
0.17340880632400513,0.8400000000000001,0.7019175,Decipher-MF,0.5,0
0.10223180055618286,0.9712,0.67053515,Decipher-MF,0.5,1
0.3359706401824951,0.9628,0.79605496,Decipher-MF,0.5,2
0.2640901803970337,0.9352,0.74292594,Decipher-MF,1.0,0
0.2898625135421753,0.7492000000000001,0.7546937,Decipher-MF,1.0,1
0.20358791947364807,0.7028000000000001,0.6805302,Decipher-MF,1.0,2
0.11750292778015137,0.8559999999999999,0.72758543,Decipher-MF,2.0,0
0.19498825073242188,0.9324,0.76492023,Decipher-MF,2.0,1
0.15711504220962524,0.7323999999999999,0.74823654,Decipher-MF,2.0,2
0.01135796308517456,0.55,0.6891176,Decipher-MF,5.0,0
0.012571334838867188,0.6128,0.6487092,Decipher-MF,5.0,1
0.16160649061203003,0.4328,0.694828,Decipher-MF,5.0,2
0.003263622522354126,0.4004,0.63061404,Decipher-MF,7.5,0
0.002094566822052002,0.4192,0.6154313,Decipher-MF,7.5,1
0.004933834075927734,0.3747999999999999,0.58318365,Decipher-MF,7.5,2
0.15548574924468994,0.3612,0.67218363,Decipher-MF,10.0,0
0.005420029163360596,0.34959999999999997,0.6392195,Decipher-MF,10.0,1
0.0014885663986206055,0.2472,0.4975533,Decipher-MF,10.0,2
0.47500109672546387,0.9336,0.81758755,Base Decipher,0.1,0
