model,shift_sigma,seed,r2_pipeline,r2_from_z_raw,r2_from_z_corrected,has_z_raw,r2_gap
Decipher-VZ-Add,0.1,0,0.7639848688524667,0.763984868934277,0.7636877695514638,True,0.0002970993828131929
Decipher-VZ-Add,0.1,1,0.7691294451726126,0.7691294452334091,0.764958847110201,True,0.00417059812320808
Decipher-VZ-Add,0.1,2,0.7730212322398266,0.7730212322925357,0.7698607021679427,True,0.003160530124593053
Decipher-VZ-Add,0.25,0,0.7594564559412504,0.759456455947436,0.7456110793599123,True,0.013845376587523717
Decipher-VZ-Add,0.25,1,0.7915144441942744,0.7915144442419106,0.7400657636239284,True,0.051448680617982245
Decipher-VZ-Add,0.25,2,0.7543680453626637,0.7543680453135833,0.7472217786911448,True,0.007146266622438446
Decipher-VZ-Add,0.5,0,0.8218080159777836,0.8218080160253709,0.774557148199338,True,0.04725086782603294
Decipher-VZ-Add,0.5,1,0.826746331398118,0.8267463314090974,0.7316739933307563,True,0.09507233807834103
Decipher-VZ-Add,0.5,2,0.7517777761934188,0.751777776344097,0.7484346747407513,True,0.0033431016033457217
Decipher-VZ-Add,1.0,0,0.8938882860970635,0.8938882860868395,0.8416362272922793,True,0.052252058794560186
Decipher-VZ-Add,1.0,1,0.8835393901720089,0.8835393903046207,0.8028417760409843,True,0.08069761426363642
Decipher-VZ-Add,1.0,2,0.8384932427318827,0.8384932427406294,0.8259798717390848,True,0.012513371001544593
Decipher-VZ-Add,2.5,0,0.9472144796484944,0.9472144796679902,0.911822643003736,True,0.03539183666425416
Decipher-VZ-Add,2.5,1,0.9392758591333308,0.9392758591673549,0.9354405089533967,True,0.0038353502139581996
Decipher-VZ-Add,2.5,2,0.9265936776710978,0.9265936777005944,0.9108851614346819,True,0.01570851626591252
Decipher-VZ2-Add,0.1,0,0.7563515751453745,0.756351575124091,0.7563172429862689,True,3.433213782211286e-05
Decipher-VZ2-Add,0.1,1,0.7813813301831969,0.7813813301119421,0.7801883143426491,True,0.0011930157692929821
