model,sigma,leiden_resolution,n_clusters,rho,trained_h5ad
Decipher-VZ2,2.0,1.0,42,0.47066369651084333,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,5.0,0.02,9,0.21091735481808788,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,5.0,0.05,11,0.320079381078144,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,5.0,0.1,16,0.5004969278315495,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,5.0,0.5,35,0.43762296838804005,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,5.0,1.0,51,0.5123299625908165,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,7.5,0.02,10,0.2862006419338277,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,7.5,0.05,14,0.36008858340200117,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,7.5,0.1,18,0.4951151551766929,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,7.5,0.5,34,0.5721627971023072,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,7.5,1.0,46,0.6156429101078877,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,10.0,0.02,13,0.3306719919329868,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,10.0,0.05,18,0.511506286233332,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,10.0,0.1,24,0.5645239630858978,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,10.0,0.5,46,0.5634618725654222,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,10.0,1.0,55,0.5452855564043538,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-MF,0.1,0.02,14,0.784253503494507,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,0.1,0.05,17,0.7993305140460379,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,0.1,0.1,24,0.7905416856984803,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,0.1,0.5,44,0.8083684707454917,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,0.1,1.0,57,0.8131059973862413,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,0.5,0.02,4,0.02834392928895777,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,0.5,0.05,9,0.0221830804977249,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,0.5,0.1,12,0.0029804778133913678,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,0.5,0.5,27,0.16066669924635427,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,0.5,1.0,37,0.23782035911185664,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,1.0,0.02,7,0.650296140437957,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,1.0,0.05,9,0.6814743941785825,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,1.0,0.1,12,0.7337060946428932,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,1.0,0.5,29,0.7428691729803567,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,1.0,1.0,38,0.7660127497861812,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,2.0,0.02,8,0.22829510557156363,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,2.0,0.05,10,0.25234760996241884,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,2.0,0.1,15,0.2017459800165578,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,2.0,0.5,25,0.23734723203288946,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,2.0,1.0,40,0.287120917933971,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,5.0,0.02,6,0.2184041339850553,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,5.0,0.05,9,0.19133103185470382,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,5.0,0.1,14,0.1769708146779033,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,5.0,0.5,33,0.3102297203404992,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,5.0,1.0,41,0.17699827599083956,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,7.5,0.02,8,0.15347287206709084,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,7.5,0.05,11,0.13376818878400343,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,7.5,0.1,16,0.10541891968107196,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,7.5,0.5,35,0.19359038329092343,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,7.5,1.0,45,0.17542160030852416,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_mf_leidenres1.0.h5ad
Decipher-MF,10.0,0.02,10,0.19517242484439112,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_mf_leidenres0.02.h5ad
Decipher-MF,10.0,0.05,11,0.11324311652474578,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_mf_leidenres0.05.h5ad
Decipher-MF,10.0,0.1,18,0.09710754422172303,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_mf_leidenres0.1.h5ad
Decipher-MF,10.0,0.5,38,0.1083128904764688,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_mf_leidenres0.5.h5ad
Decipher-MF,10.0,1.0,51,0.23213660864161387,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_mf_leidenres1.0.h5ad
