model,sigma,leiden_resolution,n_clusters,rho,trained_h5ad
Base Decipher,5.0,0.05,10,0.18474532662912294,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_leidenres0.05.h5ad
Base Decipher,5.0,0.1,15,0.21202946816483936,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_leidenres0.1.h5ad
Base Decipher,5.0,0.5,38,0.4046537663240033,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_leidenres0.5.h5ad
Base Decipher,5.0,1.0,48,0.3665836119284275,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_leidenres1.0.h5ad
Base Decipher,7.5,0.02,9,0.2875603792851621,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_leidenres0.02.h5ad
Base Decipher,7.5,0.05,15,0.3200170039174831,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_leidenres0.05.h5ad
Base Decipher,7.5,0.1,19,0.3508034853261849,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_leidenres0.1.h5ad
Base Decipher,7.5,0.5,37,0.4059445321476512,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_leidenres0.5.h5ad
Base Decipher,7.5,1.0,50,0.3724298584350036,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_leidenres1.0.h5ad
Base Decipher,10.0,0.02,10,0.3298233414608548,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_leidenres0.02.h5ad
Base Decipher,10.0,0.05,13,0.3659127683861905,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_leidenres0.05.h5ad
Base Decipher,10.0,0.1,17,0.35050190269988224,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_leidenres0.1.h5ad
Base Decipher,10.0,0.5,38,0.5219210722487738,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_leidenres0.5.h5ad
Base Decipher,10.0,1.0,54,0.4720741522373958,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_leidenres1.0.h5ad
Decipher-VZ,0.1,0.02,12,0.7781900077964211,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,0.1,0.05,19,0.7814710929497202,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,0.1,0.1,25,0.7861755627102638,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,0.1,0.5,38,0.7917210726559162,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,0.1,1.0,51,0.7889346316719718,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,0.5,0.02,5,0.09040236708355814,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,0.5,0.05,5,0.19371852275399057,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,0.5,0.1,9,0.28484447334345725,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,0.5,0.5,23,0.3265354707687606,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,0.5,1.0,38,0.44281176053764326,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,1.0,0.02,4,0.09548970664332358,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,1.0,0.05,6,0.031543983418747756,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,1.0,0.1,9,0.2762976686808333,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,1.0,0.5,28,0.4586918053689371,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,1.0,1.0,38,0.5197798714031736,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,2.0,0.02,6,0.08522338486883979,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,2.0,0.05,8,0.20887044536374022,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,2.0,0.1,11,0.1775726389149137,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,2.0,0.5,27,0.25659731577951206,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,2.0,1.0,37,0.27866420624956817,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,5.0,0.02,7,0.2755482893430664,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,5.0,0.05,10,0.12369273035785978,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,5.0,0.1,17,0.2851561887468917,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,5.0,0.5,33,0.3319891717711009,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,5.0,1.0,44,0.40882579006438813,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma5.0_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,7.5,0.02,7,0.2919302011071088,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,7.5,0.05,10,0.25013843232437194,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,7.5,0.1,13,0.30981890746582563,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,7.5,0.5,32,0.5241186973292665,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,7.5,1.0,43,0.49175293150050214,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma7.5_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ,10.0,0.02,11,0.29626687497232623,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz_leidenres0.02.h5ad
Decipher-VZ,10.0,0.05,15,0.311268915142734,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz_leidenres0.05.h5ad
Decipher-VZ,10.0,0.1,20,0.26914226550525766,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz_leidenres0.1.h5ad
Decipher-VZ,10.0,0.5,37,0.3960762907388594,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz_leidenres0.5.h5ad
Decipher-VZ,10.0,1.0,49,0.3416535730616845,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma10.0_seed0_decipher_vz_leidenres1.0.h5ad
Decipher-VZ2,0.1,0.02,16,0.8008596899571544,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,0.1,0.05,22,0.7952442811188736,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,0.1,0.1,25,0.7978253090978893,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,0.1,0.5,46,0.8040389090447508,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,0.1,1.0,60,0.8101530365880231,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.1_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,0.5,0.02,4,0.25765826911827344,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,0.5,0.05,5,0.21030468409037714,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,0.5,0.1,10,0.3203265528766033,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,0.5,0.5,25,0.46382603722359145,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,0.5,1.0,39,0.564224866421308,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma0.5_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,1.0,0.02,5,0.09178634857670384,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,1.0,0.05,7,0.14976266441010336,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,1.0,0.1,12,0.3694477712110424,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,1.0,0.5,27,0.4015101679279045,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz2_leidenres0.5.h5ad
Decipher-VZ2,1.0,1.0,38,0.46337961446591747,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma1.0_seed0_decipher_vz2_leidenres1.0.h5ad
Decipher-VZ2,2.0,0.02,6,0.1597089692223383,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz2_leidenres0.02.h5ad
Decipher-VZ2,2.0,0.05,8,0.2788559856655385,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz2_leidenres0.05.h5ad
Decipher-VZ2,2.0,0.1,11,0.41748477698849623,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz2_leidenres0.1.h5ad
Decipher-VZ2,2.0,0.5,27,0.43372760599816595,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Adata/shift_sigma_sweep/leiden_resolution_sweep/sigma2.0_seed0_decipher_vz2_leidenres0.5.h5ad
