|rho|,|rho|,ilisi,ilisi,graph_conn,graph_conn,sil_batch,sil_batch
mean,std,mean,std,mean,std,mean,std
0.9239647554505421,0.008062889101691818,0.26306444,0.18123512,0.43095999999999995,0.1095009041058566,0.7554235,0.04658284
0.9252358160013783,0.012458395233680964,0.3135172,0.15254691,0.38736000000000004,0.08518431780556797,0.7639495,0.036855496
0.9300241822606268,0.003515511126417891,0.29424042,0.16164708,0.51512,0.09609886575813474,0.81399095,0.051192
0.9295779404958233,0.007038861302920351,0.30173692,0.15385805,0.55264,0.11949011674611419,0.80311126,0.052316215
0.8243952035215042,0.10597590615033485,0.08552401,0.14250618,0.33592000000000005,0.13388006573048877,0.5312516,0.15514164
0.9031996077151986,0.032040267162984415,0.1450564,0.16435355,0.41263999999999995,0.16232968921303337,0.74128497,0.049631827
0.9129289402179268,0.019598500869920866,0.108322285,0.14047551,0.53736,0.1401692120260366,0.7599544,0.051866744
0.9041551198520057,0.020909562686192477,0.11139534,0.14942677,0.38592,0.10196917181187655,0.6911036,0.097126804
0.7207008425717698,0.12420049949562247,0.025757587,0.057595614,0.24367999999999998,0.1397304261784097,0.3471859,0.23218495
0.5693337660859095,0.39156840908080515,0.0538344,0.108515434,0.26424,0.16912258276173525,0.6412254,0.1204747
0.607611549194201,0.21785562844707293,0.04391404,0.07945951,0.3872,0.17442958464664185,0.53473854,0.20887311
0.593085935323084,0.2390065505804781,0.047897298,0.09716109,0.2716,0.10547682209850653,0.48109156,0.21249779
