ilisi,graph_conn,sil_batch,model,shift_sigma,seed
0.4692069888114929,0.9564,0.8146102,Decipher-VZ-Add,0.1,0
0.4609364867210388,0.9763999999999999,0.813183,Decipher-VZ-Add,0.1,1
0.5195732116699219,0.9635999999999999,0.8984305,Decipher-VZ-Add,0.1,2
0.5286620855331421,0.9696,0.83291304,Decipher-VZ-Add,0.1,3
0.5144572257995605,0.9772000000000001,0.8602268,Decipher-VZ-Add,0.1,4
0.2303234338760376,0.9388,0.70086735,Decipher-VZ-Add,0.25,0
0.24947255849838257,0.9708,0.7412705,Decipher-VZ-Add,0.25,1
0.3539201021194458,0.9488,0.7962877,Decipher-VZ-Add,0.25,2
0.28594493865966797,0.9944,0.68404996,Decipher-VZ-Add,0.25,3
0.39361512660980225,0.9904,0.72571313,Decipher-VZ-Add,0.25,4
0.018271803855895996,0.6504000000000001,0.4954703,Decipher-VZ-Add,0.5,0
0.05340960621833801,0.8256,0.61450374,Decipher-VZ-Add,0.5,1
0.1539088487625122,0.9116,0.6691743,Decipher-VZ-Add,0.5,2
0.1596693992614746,0.9940000000000001,0.6509833,Decipher-VZ-Add,0.5,3
0.23026150465011597,0.9099999999999999,0.65511155,Decipher-VZ-Add,0.5,4
5.960464477539063e-08,0.5751999999999999,0.4055801,Decipher-VZ-Add,0.75,0
0.007988184690475464,0.7512000000000001,0.51738155,Decipher-VZ-Add,0.75,1
0.035749733448028564,0.7859999999999999,0.5751677,Decipher-VZ-Add,0.75,2
0.044708967208862305,0.8827999999999999,0.5146884,Decipher-VZ-Add,0.75,3
0.12346696853637695,0.7888,0.6121059,Decipher-VZ-Add,0.75,4
5.960464477539063e-08,0.3868,0.40773684,Decipher-VZ-Add,1.0,0
2.9802322387695312e-08,0.43839999999999996,0.3563108,Decipher-VZ-Add,1.0,1
1.1920928955078125e-07,0.5928000000000001,0.44328052,Decipher-VZ-Add,1.0,2
2.9802322387695312e-08,0.5584,0.32038742,Decipher-VZ-Add,1.0,3
0.06137901544570923,0.6272,0.53428715,Decipher-VZ-Add,1.0,4
0.0,0.2172,0.16617163,Decipher-VZ-Add,2.0,0
2.9802322387695312e-08,0.38,0.38172263,Decipher-VZ-Add,2.0,1
2.9802322387695312e-08,0.32239999999999996,0.25653654,Decipher-VZ-Add,2.0,2
0.0,0.22200000000000003,0.21742713,Decipher-VZ-Add,2.0,3
8.940696716308594e-08,0.5936,0.4171285,Decipher-VZ-Add,2.0,4
0.0,0.2164,0.12609181,Decipher-VZ-Add,5.0,0
0.0,0.21600000000000003,0.14173582,Decipher-VZ-Add,5.0,1
0.0,0.2116,0.16577114,Decipher-VZ-Add,5.0,2
0.0,0.22000000000000003,0.08868747,Decipher-VZ-Add,5.0,3
0.0,0.22080000000000002,0.18439785,Decipher-VZ-Add,5.0,4
