ilisi,graph_conn,sil_batch,model,shift_sigma,seed
0.4630398750305176,0.9532,0.8311388,Decipher-VZ-Add,0.1,0
0.443794846534729,0.9692000000000001,0.8360381,Decipher-VZ-Add,0.1,1
0.4356940984725952,0.658,0.70837224,Decipher-VZ-Add,0.2,0
0.3346216678619385,0.9348000000000001,0.77799916,Decipher-VZ-Add,0.2,1
0.34969043731689453,0.7595999999999999,0.7678752,Decipher-VZ-Add,0.3,0
0.39947307109832764,0.9040000000000001,0.7831925,Decipher-VZ-Add,0.3,1
0.46480774879455566,0.9512,0.8205266,Decipher-VZ2-Add,0.1,0
0.4526909589767456,0.9667999999999999,0.79543173,Decipher-VZ2-Add,0.1,1
0.37839001417160034,0.8603999999999999,0.7485775,Decipher-VZ2-Add,0.2,0
0.3045917749404907,0.968,0.82879275,Decipher-VZ2-Add,0.2,1
0.2520418167114258,0.9012,0.70591813,Decipher-VZ2-Add,0.3,0
0.24995821714401245,0.9735999999999999,0.7323208,Decipher-VZ2-Add,0.3,1
0.5388526916503906,0.8228,0.7844904,Decipher-MF-Add,0.1,0
0.5109438896179199,0.8576,0.83058417,Decipher-MF-Add,0.1,1
0.49247920513153076,0.5624,0.583539,Decipher-MF-Add,0.2,0
0.30778735876083374,0.978,0.7997178,Decipher-MF-Add,0.2,1
0.2971752882003784,0.734,0.7019673,Decipher-MF-Add,0.3,0
0.4025394916534424,0.7343999999999999,0.7379017,Decipher-MF-Add,0.3,1
0.48338639736175537,0.8603999999999999,0.7833384,Base Decipher,0.1,0
0.47048836946487427,0.9751999999999998,0.81132376,Base Decipher,0.1,1
0.3772679567337036,0.8400000000000001,0.7075653,Base Decipher,0.2,0
0.3090376853942871,0.976,0.79709697,Base Decipher,0.2,1
0.18760457634925842,0.9299999999999999,0.6746202,Base Decipher,0.3,0
0.223628431558609,0.9640000000000001,0.75506514,Base Decipher,0.3,1
