model,shift_sigma,seed,sil_counts,sil_counts_nobatch,sil_latent_z,sil_decipher_z,sil_decipher_v
Decipher-VZ-Add,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.043209484192837246,-0.046657924
Decipher-VZ-Add,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.03762722143685403,-0.03951515
Decipher-VZ-Add,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.051609084964083334,-0.052720018
Decipher-VZ-Add,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,0.04893144980385251,0.0529672
Decipher-VZ-Add,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,0.06918452810141155,0.07512183
Decipher-VZ-Add,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,-0.10169546441626208,-0.103424355
Decipher-VZ-Add,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,0.8265439826516162,0.83372253
Decipher-VZ-Add,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,-0.07322619758265447,-0.06664423
Decipher-VZ-Add,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,0.5336131090490701,0.48653388
Decipher-VZ-Add,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.8669659359985308,0.86209464
Decipher-VZ-Add,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.8443619927161125,0.85141015
Decipher-VZ-Add,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.9098535638276437,0.91018456
Decipher-VZ2-Add,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.038832235075175275,-0.047259524
Decipher-VZ2-Add,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.053802033837150466,-0.05490034
Decipher-VZ2-Add,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.05295320260508959,-0.05253497
Decipher-VZ2-Add,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,0.12017814138150866,0.05600424
Decipher-VZ2-Add,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,0.10296600279607289,0.060757555
Decipher-VZ2-Add,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,0.15182110015972386,0.13332404
Decipher-VZ2-Add,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,0.9101227786712448,0.83836037
Decipher-VZ2-Add,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,0.14606088286203278,0.029427588
Decipher-VZ2-Add,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,0.7759540060236655,0.7213914
Decipher-VZ2-Add,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.9451169927900519,0.939733
Decipher-VZ2-Add,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.9321874953088787,0.72578084
Decipher-VZ2-Add,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.8926716564946335,0.9068296
Decipher-MF-Add,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.04307757070874568,-0.040696274
Decipher-MF-Add,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.019541652769525474,-0.05592676
Decipher-MF-Add,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.042485366271962755,-0.046758294
Decipher-MF-Add,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,0.10094159602993977,-0.062337548
Decipher-MF-Add,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,0.12899107766951154,-0.043447595
Decipher-MF-Add,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,0.1244291899171729,-0.06996262
Decipher-MF-Add,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,0.927589952309312,0.45169276
Decipher-MF-Add,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,0.19487997006053798,-0.07087801
Decipher-MF-Add,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,0.8214283085852223,0.2650995
Decipher-MF-Add,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.9415287765173663,0.93138516
Decipher-MF-Add,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.9090067012218709,0.83741105
Decipher-MF-Add,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.9314279541595933,0.52518237
Decipher-ZX,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.02912747429862245,-0.028345618
Decipher-ZX,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.03281921952730056,-0.034716938
Decipher-ZX,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.0395534266029185,-0.04398897
Decipher-ZX,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,-0.05659221885128544,-0.051614795
Decipher-ZX,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,-0.031159273621296654,-0.043048874
Decipher-ZX,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,-0.04450374870418194,-0.04442804
Decipher-ZX,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,-0.05172422452754061,-0.048286043
Decipher-ZX,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,-0.052153813487414734,-0.053810894
Decipher-ZX,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,-0.049438364953532175,-0.053269416
Decipher-ZX,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.33417109284537183,0.32231444
Decipher-ZX,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.07490346482011706,0.071486585
Decipher-ZX,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.06465593871627556,0.071773805
Decipher-ZX2,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.026259007790436453,-0.030153885
Decipher-ZX2,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.04122159202733186,-0.037126407
Decipher-ZX2,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.04624609557331095,-0.042684797
Decipher-ZX2,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,-0.05310750714570035,-0.05335901
Decipher-ZX2,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,-0.0403011772417605,-0.028580941
Decipher-ZX2,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,-0.043213184703819366,-0.045547675
Decipher-ZX2,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,-0.04067150632279537,-0.042202026
Decipher-ZX2,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,-0.03300727159127742,-0.031231834
Decipher-ZX2,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,-0.05189746965634599,-0.04138115
Decipher-ZX2,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.03789177391468955,-0.00804895
Decipher-ZX2,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,-0.08870243522793174,-0.09353107
Decipher-ZX2,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.07477087168426304,0.074201874
Decipher-MF2,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.03048094937026791,-0.02796349
Decipher-MF2,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.03911070366957734,-0.03943551
Decipher-MF2,0.1,2,0.06522939738175498,-0.014307995740456003,-0.027943728630868605,-0.0413447477125668,-0.045031816
Decipher-MF2,0.25,0,0.23175346858197726,-0.013184757192251604,-0.023589454994193744,-0.06039848550614398,-0.06356209
Decipher-MF2,0.25,1,0.207902418635752,-0.014529051916544336,-0.02794000597405464,-0.03734712030108558,-0.044939265
Decipher-MF2,0.25,2,0.22908954671469814,-0.014307995740456003,-0.027943728630868605,-0.07163051907771746,-0.06859076
Decipher-MF2,0.5,0,0.40594104249446383,-0.013184757192251604,-0.023589454994193744,-0.01620865302549853,-0.006001262
Decipher-MF2,0.5,1,0.3615098217110273,-0.014529051916544336,-0.02794000597405464,-0.03573653361612621,-0.040306758
Decipher-MF2,0.5,2,0.39457355275007194,-0.014307995740456003,-0.027943728630868605,-0.03387895923373096,-0.0044901613
Decipher-MF2,1.0,0,0.5897192004520136,-0.013184757192251604,-0.023589454994193744,0.29907121224258565,0.32679042
Decipher-MF2,1.0,1,0.5718203391841623,-0.014529051916544336,-0.02794000597405464,0.025768564912780244,0.054949913
Decipher-MF2,1.0,2,0.5905907042447729,-0.014307995740456003,-0.027943728630868605,0.35717319278670817,0.41653287
Base Decipher,0.1,0,0.07052883723812602,-0.013184757192251604,-0.023589454994193744,-0.04534065736188531,-0.04605632
Base Decipher,0.1,1,0.0612721456964978,-0.014529051916544336,-0.02794000597405464,-0.03989801705987153,-0.042112038
