model,shift_sigma,seed,r2_pipeline,r2_from_z_raw,r2_from_z_corrected,has_z_raw
Decipher-VZ-Add,0.1,0,0.6658995187471278,0.6658995187743093,0.6637354774234138,True
Decipher-VZ-Add,0.1,1,0.7075484255500821,0.7075484255629119,0.7046620725685012,True
Decipher-VZ-Add,0.1,2,0.6601044269780334,0.6601044270257781,0.6592542143886352,True
Decipher-VZ-Add,0.25,0,0.5714146532916202,0.571414653252641,0.5123521080828796,True
Decipher-VZ-Add,0.25,1,0.6327250130511954,0.6327250130051406,0.5769472885647744,True
Decipher-VZ-Add,0.25,2,0.5662559300256729,0.5662559300506473,0.4255171662577881,True
Decipher-VZ-Add,0.5,0,0.6039717808873067,0.6039717809352824,0.4827350393990323,True
Decipher-VZ-Add,0.5,1,0.6322872973988625,0.6322872975208652,0.40808682355887216,True
Decipher-VZ-Add,0.5,2,0.5869975278928856,0.5869975278342809,0.3813244511056366,True
Decipher-VZ-Add,1.0,0,0.6901051462861962,0.6901051463673654,0.6617847502893826,True
Decipher-VZ-Add,1.0,1,0.6933678331624726,0.6933678332956963,0.6484596677963514,True
Decipher-VZ-Add,1.0,2,0.678809100240249,0.6788091000520664,0.6395297472084198,True
Decipher-VZ2-Add,0.1,0,0.663816469168156,0.6638164690981256,0.6629221419880806,True
Decipher-VZ2-Add,0.1,1,0.6926519876169267,0.6926519877079347,0.6925269516859769,True
Decipher-VZ2-Add,0.1,2,0.6693607693253019,0.6693607692947543,0.6681674570900904,True
Decipher-VZ2-Add,0.25,0,0.575078623492399,0.5750786232484,0.5677287947434166,True
Decipher-VZ2-Add,0.25,1,0.6273130986357655,0.6273130987766574,0.6208957965798554,True
Decipher-VZ2-Add,0.25,2,0.5645321846994202,0.5645321847632367,0.5561708467638447,True
Decipher-VZ2-Add,0.5,0,0.6026229874892499,0.6026229873655216,0.5956483212766167,True
Decipher-VZ2-Add,0.5,1,0.612219396220315,0.6122193962038625,0.60655498174301,True
Decipher-VZ2-Add,0.5,2,0.5987881512857004,0.5987881512227771,0.5901643469269231,True
Decipher-VZ2-Add,1.0,0,0.6807632944895126,0.6807632943342553,0.6755019735519074,True
Decipher-VZ2-Add,1.0,1,0.6950130069254341,0.6950130071416354,0.6913514339571942,True
Decipher-VZ2-Add,1.0,2,0.6931964215888455,0.6931964216104355,0.6887271938890425,True
Decipher-MF-Add,0.1,0,0.6724506457162711,0.6724506457102988,0.6722454905373313,True
Decipher-MF-Add,0.1,1,0.6824142786897431,0.6824142786021347,0.6793997079195098,True
Decipher-MF-Add,0.1,2,0.6742025179063245,0.6742025180698817,0.6727956925077672,True
Decipher-MF-Add,0.25,0,0.5772700552297867,0.5772700552931969,0.5643529317718784,True
Decipher-MF-Add,0.25,1,0.639966978066142,0.6399669781188575,0.6288426781879427,True
Decipher-MF-Add,0.25,2,0.5697828252017108,0.5697828252260619,0.5492759333448033,True
Decipher-MF-Add,0.5,0,0.6033704951041001,0.6033704951623295,0.584622733877592,True
Decipher-MF-Add,0.5,1,0.6307995152610114,0.6307995151532598,0.617597126439726,True
Decipher-MF-Add,0.5,2,0.5944125326289981,0.5944125323846772,0.5817534416162691,True
Decipher-MF-Add,1.0,0,0.6900124297163988,0.6900124298320086,0.6856285905496015,True
Decipher-MF-Add,1.0,1,0.688581133633512,0.6885811338088659,0.6840433073418942,True
Decipher-MF-Add,1.0,2,0.6990247142160497,0.6990247142984503,0.688375513463686,True
Decipher-ZX,0.1,0,0.729025628824095,0.7290256287656551,0.7290256287656551,True
Decipher-ZX,0.1,1,0.7603968321618408,0.7603968320505815,0.7603968320505815,True
Decipher-ZX,0.1,2,0.7290911741927126,0.7290911741631536,0.7290911741631536,True
