model,n_z_dims,shift_sigma,seed,decipher_seed,beta,batch_mode,rho,trained_h5ad,r2_overall,r2_per_gene_median,error
Decipher-VZ2-Add,3,0.25,1,1,0.1,genes,0.9234739950800692,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed1_decipher_vz2_add.h5ad,0.6273130986357655,0.3776671637054696,
Decipher-VZ2-Add,3,0.25,2,1,0.1,genes,0.8785046623813696,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.25_seed2_decipher_vz2_add.h5ad,0.5645321846994202,0.3181847096559809,
Decipher-VZ2-Add,3,0.5,0,1,0.1,genes,0.20386662877537268,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed0_decipher_vz2_add.h5ad,0.6026229874892499,0.37147618469422217,
Decipher-VZ2-Add,3,0.5,1,1,0.1,genes,0.9020823296424976,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed1_decipher_vz2_add.h5ad,0.612219396220315,0.4369138792541039,
Decipher-VZ2-Add,3,0.5,2,1,0.1,genes,0.633629726102983,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.5_seed2_decipher_vz2_add.h5ad,0.5987881512857004,0.35441369289373814,
Decipher-VZ2-Add,3,1.0,0,1,0.1,genes,0.27910418328285885,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed0_decipher_vz2_add.h5ad,0.6807632944895126,0.5834319050356027,
Decipher-VZ2-Add,3,1.0,1,1,0.1,genes,0.35478275855026015,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed1_decipher_vz2_add.h5ad,0.6950130069254341,0.6194368427229189,
Decipher-VZ2-Add,3,1.0,2,1,0.1,genes,0.36948170483337867,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma1.0_seed2_decipher_vz2_add.h5ad,0.6931964215888455,0.593770126014968,
Decipher-MF-Add,3,0.1,0,1,0.1,genes,0.8842877870935856,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed0_decipher_mf_add.h5ad,0.6724506457162711,0.4028484906565786,
Decipher-MF-Add,3,0.1,1,1,0.1,genes,0.9384993671242556,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed1_decipher_mf_add.h5ad,0.6824142786897431,0.43520655216541937,
Decipher-MF-Add,3,0.1,2,1,0.1,genes,0.8722078572736676,/Users/alanxie/CodingProjects/Columbia/Azizi Lab/Spatial Nut Carcinoma/decipher-bc-methods/Data/Simulated Data/Simulated Data Generation/../Simulated Adata/shift_sigma_sweep/0825/trained/9.9_sigma0.1_seed2_decipher_mf_add.h5ad,0.6742025179063245,0.38684242721428974,
