r,magnitude_ratio,model,shift_sigma,seed
0.8802017583776228,0.8324644031143583,Decipher-MF-Add,1.0,2
0.9923796675559982,0.9116120935254062,Decipher-ZX,0.1,0
0.993621605524765,0.9014053403295093,Decipher-ZX,0.1,1
0.99436327895119,0.9041281408632897,Decipher-ZX,0.1,2
0.9976066979519473,0.9153424249309409,Decipher-ZX,0.25,0
0.9973632846902051,0.927305427024101,Decipher-ZX,0.25,1
0.9974099985931499,0.9217205863221049,Decipher-ZX,0.25,2
0.99856677421422,0.9345566263387638,Decipher-ZX,0.5,0
0.998647731823873,0.9409319943985498,Decipher-ZX,0.5,1
0.9986488511758809,0.9410613027363394,Decipher-ZX,0.5,2
0.9988584527814022,0.9452726268291883,Decipher-ZX,1.0,0
0.9993102896402302,0.9553379707076297,Decipher-ZX,1.0,1
0.9992466064673104,0.9586572791040358,Decipher-ZX,1.0,2
0.9934941865182386,0.9045734832740483,Decipher-ZX2,0.1,0
0.99419539946186,0.9012609435149006,Decipher-ZX2,0.1,1
0.9946445876079014,0.9017300283586572,Decipher-ZX2,0.1,2
0.9970281094378514,0.9230616228582864,Decipher-ZX2,0.25,0
0.996711384429639,0.9323124032596222,Decipher-ZX2,0.25,1
0.996626976423041,0.9330115445633034,Decipher-ZX2,0.25,2
0.998625504320225,0.9427276369011937,Decipher-ZX2,0.5,0
0.9986383757077857,0.9486481747106504,Decipher-ZX2,0.5,1
0.9987105836958919,0.947873540679323,Decipher-ZX2,0.5,2
0.9987722181502273,0.9553574420097433,Decipher-ZX2,1.0,0
0.9994697823521248,0.9630112780057621,Decipher-ZX2,1.0,1
0.9992456389592183,0.9531182092592416,Decipher-ZX2,1.0,2
0.9904378177364637,0.9092534624180054,Decipher-MF2,0.1,0
0.9921989308675607,0.9144278310282626,Decipher-MF2,0.1,1
0.9931012700050024,0.9050758074238262,Decipher-MF2,0.1,2
0.9961370076601103,0.935262342132201,Decipher-MF2,0.25,0
0.9962948974548239,0.9385961746626399,Decipher-MF2,0.25,1
0.996099403747956,0.9380881721793906,Decipher-MF2,0.25,2
0.9984825367456348,0.9532140121775513,Decipher-MF2,0.5,0
0.9982487368771567,0.953586989656631,Decipher-MF2,0.5,1
0.9985456181855324,0.9524795323009093,Decipher-MF2,0.5,2
0.9993293192650872,0.9639189824228815,Decipher-MF2,1.0,0
0.9993882411344908,0.9664089827399414,Decipher-MF2,1.0,1
0.9991150490577027,0.9680608363699799,Decipher-MF2,1.0,2
0.21906242551591415,0.1724862472214633,Base Decipher,0.1,0
0.20932106044947585,0.16331159782352803,Base Decipher,0.1,1
0.314269722139755,0.31573825879248585,Base Decipher,0.1,2
0.7313788741356775,0.5609166100705447,Base Decipher,0.25,0
0.7399464023674973,0.6125508235242726,Base Decipher,0.25,1
0.6347685790770801,0.49999966544966645,Base Decipher,0.25,2
0.8779968380820156,0.7922443021009008,Base Decipher,0.5,0
0.7659360762575259,0.687630796978398,Base Decipher,0.5,1
0.8493932612279094,0.7891300675678501,Base Decipher,0.5,2
0.8666722088370588,0.8053768426240545,Base Decipher,1.0,0
0.8856142952183071,0.8546044917915352,Base Decipher,1.0,1
0.8678608580844238,0.8132310202448891,Base Decipher,1.0,2
